study_name,process_a,process_b,subgroup,model_type,subject_count,parameter_count,wave_count,ll,aic,bic,process,coefficient,subindex,est,pval,se,wald
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,00,18.506,0.0,1.606,11.525
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,01,0.069,0.589,0.127,0.54
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,02,-0.136,0.398,0.161,-0.846
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,03,0.217,0.004,0.074,2.919
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,04,0.972,0.27,0.881,1.104
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,05,0.289,0.907,2.463,0.117
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,06,-2.253,0.158,1.596,-1.412
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,10,-2.288,0.0,0.471,-4.858
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,11,-0.066,0.033,0.031,-2.129
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,12,0.097,0.029,0.044,2.177
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,13,-0.011,0.62,0.023,-0.496
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,14,-0.018,0.956,0.335,-0.055
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,15,0.289,0.625,0.591,0.489
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,gamma,16,0.253,0.436,0.324,0.779
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,a,sigma,00,5.794,0.0,0.52,11.144
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,aa,tau,00,25.144,0.0,5.3,4.744
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,aa,tau,01,-1.385,0.232,1.158,-1.195
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,aa,tau,11,0.227,0.334,0.235,0.965
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,ab,sigma,00,0.513,0.78,1.836,0.279
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,ab,tau,00,16.312,0.335,16.924,0.964
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,ab,tau,01,-1.652,0.765,5.535,-0.298
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,ab,tau,10,-0.848,0.82,3.733,-0.227
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,ab,tau,11,0.458,0.534,0.736,0.622
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,00,109.586,0.0,8.227,13.32
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,01,-1.509,0.001,0.47,-3.214
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,02,0.294,0.733,0.862,0.342
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,03,0.054,0.871,0.334,0.163
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,04,3.153,0.441,4.094,0.77
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,05,-4.264,0.542,6.99,-0.61
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,06,-18.341,0.002,5.85,-3.135
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,10,-3.186,0.211,2.55,-1.25
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,11,-0.069,0.595,0.129,-0.531
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,12,0.111,0.698,0.286,0.388
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,13,0.058,0.471,0.08,0.72
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,14,-0.328,0.801,1.297,-0.253
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,15,-0.152,0.938,1.946,-0.078
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,gamma,16,0.503,0.822,2.236,0.225
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,b,sigma,00,60.523,0.0,8.032,7.536
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,bb,tau,00,343.992,0.0,79.398,4.332
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,bb,tau,10,-13.23,0.46,17.909,-0.739
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,bb,tau,11,6.366,0.102,3.898,1.633
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,er,sigma,00,0.027,0.781,0.098,0.279
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,er,tau,00,0.175,0.314,0.174,1.007
eas,grip,gait,female,aehplus,147,41,7,-2650.266,5382.533,5505.14,er,tau,11,0.381,0.443,0.497,0.767
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,00,33.773,0.0,7.418,4.553
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,01,-0.547,0.094,0.326,-1.675
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,02,-0.256,0.597,0.485,-0.528
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,03,0.211,0.372,0.236,0.894
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,04,-0.225,0.946,3.3,-0.068
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,05,-0.357,0.911,3.204,-0.112
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,06,-0.394,0.915,3.7,-0.106
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,10,-2.419,0.373,2.717,-0.89
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,11,-0.033,0.807,0.134,-0.244
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,12,0.023,0.88,0.153,0.151
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,13,0.002,0.985,0.096,0.019
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,14,0.446,0.617,0.892,0.5
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,15,0.768,0.599,1.46,0.526
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,gamma,16,-0.475,0.795,1.827,-0.26
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,a,sigma,00,17.304,0.0,4.728,3.66
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,aa,tau,00,26.838,0.101,16.359,1.641
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,aa,tau,01,-2.274,0.541,3.722,-0.611
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,aa,tau,11,0.727,0.545,1.2,0.606
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,ab,sigma,00,7.758,0.464,10.595,0.732
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,ab,tau,00,23.893,0.523,37.413,0.639
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,ab,tau,01,1.102,0.932,12.825,0.086
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,ab,tau,10,-4.566,0.743,13.922,-0.328
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,ab,tau,11,0.183,0.936,2.276,0.08
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,00,105.428,0.0,15.429,6.833
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,01,-0.538,0.378,0.61,-0.882
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,02,0.691,0.548,1.15,0.6
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,03,0.08,0.859,0.452,0.177
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,04,-0.781,0.922,8.006,-0.098
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,05,-2.562,0.834,12.211,-0.21
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,06,-4.713,0.592,8.79,-0.536
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,10,-1.237,0.816,5.304,-0.233
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,11,-0.086,0.788,0.318,-0.269
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,12,-0.279,0.273,0.255,-1.096
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,13,0.015,0.942,0.211,0.072
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,14,0.664,0.807,2.715,0.244
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,15,0.421,0.918,4.09,0.103
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,gamma,16,0.04,0.99,3.263,0.012
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,b,sigma,00,75.384,0.018,31.902,2.363
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,bb,tau,00,213.712,0.037,102.287,2.089
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,bb,tau,10,-0.004,1.0,19.875,0.0
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,bb,tau,11,0.773,0.922,7.95,0.097
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,er,sigma,00,0.215,0.392,0.251,0.856
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,er,tau,00,0.315,0.483,0.45,0.701
eas,grip,gait,male,aehplus,72,41,7,-1553.147,3188.293,3281.637,er,tau,11,0.244,0.932,2.858,0.085
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,00,345.141,0.0,25.008,13.801
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,01,-4.331,0.009,1.669,-2.595
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,02,-2.119,0.406,2.548,-0.832
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,03,0.412,0.746,1.27,0.324
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,04,-0.643,0.966,15.263,-0.042
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,05,-22.742,0.368,25.252,-0.901
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,06,-25.57,0.313,25.344,-1.009
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,10,-28.946,0.0,7.621,-3.798
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,11,0.204,0.676,0.488,0.418
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,12,0.717,0.413,0.875,0.819
