"model_number","version","active","valid","best_in_gender","study_name","date","time","converged","subgroup","model_type","physical_outcome","var_int_physical","se_int_physical","var_slope_physical","se_slope_physical","var_residual_physical","se_residual_physical","cognitive_outcome","var_int_cog","se_int_cog","var_slope_cog","se_slope_cog","var_residual_cog","se_residual_cog","cov_int","cov_slope","cov_residual","p_cov_int","p_cov_slope","p_cov_res","subject_count","wave_count","datapoint_count","parameter_count","deviance","software","output_file","model_description","results_descriptions","notes","data_file","se_cov_int","se_cov_slope","se_cov_residual","LL","aic","bic","adj_bic","aaic"
"u1","0.1",NA,NA,NA,"obas","02/23/2015"," 4:13 PM",TRUE,"male","age","tug",0.02,0.002,0,0,0.017,0.001,"nocog",0.643,0.115,0.043,0.014,1.293,0.066,0.032,0.001,-0.002,0.003,0.011,0.596,848,10,NA,8,NA,"Mplus VERSION 7.3","u1_male_age_tug_nocog.out","??",NA,NA," unshared\IALSA_OBAS_021815.dat",0.011,0.001,0.004,-6215.692,12447.385,12485.328,12459.922,12447.5566328963
"b1","0.1",NA,NA,NA,"obas","04/01/2014"," 2:00 PM",TRUE,"age","ws","mmse nondem",0.021,0.003,0,0,0.018,0.002,"n10",0.578,0.164,0.023,0.011,1.283,0.092,0.033,0.001,0,0.028,0.034,0.94,265,10,NA,29,NA,"Mplus VERSION 7.3","b1_age_ws_mmse nondem_n10.out","??",NA,NA," unshared\IALSA OBAS 022415 NO NAMES.dat",0.015,0.001,0.006,-2805.46,5668.921,5772.733,5680.788,5676.32525531915
"b1","0.1",NA,NA,NA,"obas","04/01/2014","10:30 AM",TRUE,"female","aeh","ws",0.022,0.003,0,0,0.018,0.002,"mmse",0.67,0.184,0.026,0.011,1.314,0.091,0.048,0.001,-0.002,0.003,0.039,0.796,145,10,NA,29,NA,"Mplus VERSION 7.3","b1_female_aeh_ws_mmse.out","??",NA,NA," unshared\IALSA_OBAS_021815.dat",0.016,0.001,0.006,-1535.72,3129.441,3215.766,3124,3144.57143478261
"b1","0.1",NA,NA,NA,"obas","04/01/2014"," 2:01 PM",TRUE,"female","age","ws",0.018,0.003,0,0,0.016,0.001,"mmse",0.649,0.131,0.065,0.027,1.266,0.097,0.016,0.002,-0.002,0.267,0.085,0.641,155,10,NA,21,NA,"Mplus VERSION 7.3","b1_female_age_ws_mmse.out","??",NA,NA," unshared\IALSA OBAS 022415 NO NAMES.dat",0.015,0.001,0.005,-1667.336,3376.672,3440.584,3374.114,3383.61936842105
"b1","0.1",NA,NA,NA,"obas","04/01/2014","10:29 AM",TRUE,"male","aeh","ws",0.018,0.003,0,0,0.016,0.001,"mmse",0.658,0.129,0.065,0.028,1.267,0.094,0.018,0.002,-0.003,0.221,0.073,0.526,108,10,NA,29,NA,"Mplus VERSION 7.3","b1_male_aeh_ws_mmse.out","??",NA,NA," unshared\IALSA_OBAS_021815.dat",0.014,0.001,0.005,-1099.244,2256.488,2334.27,2242.639,2278.79569230769
"b1","0.1",NA,NA,NA,"obas","02/23/2015"," 3:13 PM",TRUE,"male","age","ws",NA,NA,NA,NA,NA,NA,"mmse",0.607,0.167,0.026,0.011,1.31,0.09,NA,NA,NA,NA,NA,NA,111,10,NA,21,NA,"Mplus VERSION 7.3","b1_male_age_ws_mmse.out","??",NA,NA," unshared\IALSA_OBAS_021815.dat",NA,NA,NA,-1146.56,2335.119,2392.02,2325.655,2345.50102247191
"u1","0.1",NA,NA,NA,"obas","02/23/2015"," 3:23 PM",TRUE,"female","age","nophys",0.02,0.003,0,0,0.018,0.002,"mmse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,10,NA,10,NA,"Mplus VERSION 7.3","u1_female_age_nophys_mmse.out","??",NA,NA," unshared\IALSA_OBAS_021815.dat",NA,NA,NA,-2073.813,4167.626,4197.995,4166.344,4169.16446153846
"u1","0.1",NA,NA,NA,"obas","02/23/2015"," 3:21 PM",TRUE,"female","age","ws",NA,NA,NA,NA,NA,NA,"noCog",0.663,0.131,0.064,0.027,1.263,0.094,NA,NA,NA,NA,NA,NA,153,10,NA,10,NA,"Mplus VERSION 7.3","u1_female_age_ws_noCog.out","??",NA,NA," unshared\IALSA_OBAS_021815.dat",NA,NA,NA,419.405,-818.81,-788.506,-820.157,-817.260704225352
"u1","0.1",NA,NA,NA,"obas","02/23/2015"," 3:20 PM",TRUE,"male","age","nophys",0.018,0.003,0,0,0.016,0.001,"mmse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,10,NA,10,NA,"Mplus VERSION 7.3","u1_male_age_nophys_mmse.out","??",NA,NA," unshared\IALSA_OBAS_021815.dat",NA,NA,NA,-1529.924,3079.848,3106.943,3075.341,3082.048
"u1","0.1",NA,NA,NA,"obas","02/24/2015"," 2:45 PM",TRUE,"male","age","ws",NA,NA,NA,NA,NA,NA,"noCog",0.644,0.215,0.092,0.097,1.275,0.121,NA,NA,NA,NA,NA,NA,111,10,NA,10,NA,"Mplus VERSION 7.3","u1_male_age_ws_noCog.out","??",NA,NA," unshared\IALSA_OBAS_021815.dat",NA,NA,NA,378.548,-737.096,-710.001,-741.603,-734.896
"u2","0.1",NA,NA,NA,"obas","02/24/2015"," 2:39 PM",FALSE,"female","age","nophys",NA,NA,NA,NA,NA,NA,"mmse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,13,NA,"Mplus VERSION 7.3","u2_female_age_nophys_mmse.out","??",NA,NA," unshared\IALSA_OBAS_021815.dat",NA,NA,NA,-2082.668,4191.336,4230.901,4189.753,4193.91756028369
