"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval"
"Mplus VERSION 7.3","0.1","03/25/2015"," 8:31 AM","eas","b1","female","ae","muscle","fluency","grip","bostonnaming",TRUE,594,8,NA,25,-5494.595,11039.19,11148.862,11069.494,11041.4787323944,"b1_female_ae_muscle_fluency_grip_bostonnaming.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",33.059,4.998,0,1.018,0.314,0.001,4.331,0.413,0,0.009,0.014,0.542,6.923,0.387,0,1.933,0.084,0,6.923,0.387,0,NA,NA,NA,3.085,1.287,0.017,0.007,0.049,0.882,NA,NA,NA,"1.933","0.084",0,0.135,0.218,0.537,18.759,1.308,0,-1.051,0.38,0.006,9.829,0.293,0,0.022,0.067,0.74
"Mplus VERSION 7.3","0.1","03/25/2015"," 8:23 AM","eas","b1","female","ae","muscle","fluency","grip","category",TRUE,593,8,NA,25,-7587.787,15225.574,15335.204,15255.836,15227.8667689594,"b1_female_ae_muscle_fluency_grip_category.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",33.654,4.877,0,0.962,0.281,0.001,52.973,4.459,0,0.755,0.164,0,6.872,0.391,0,17.911,0.802,0,6.872,0.391,0,NA,NA,NA,5.411,4.901,0.27,0.053,0.212,0.802,NA,NA,NA,"17.911","0.802",0,-0.795,0.688,0.248,18.971,1.343,0,-1.143,0.348,0.001,35.661,1.055,0,-0.569,0.293,0.052
"Mplus VERSION 7.3","0.1","03/25/2015"," 7:15 AM","eas","b1","female","ae","muscle","fluency","grip","fas",TRUE,571,8,NA,25,-7797.886,15645.772,15754.457,15675.093,15648.1573211009,"b1_female_ae_muscle_fluency_grip_fas.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",34.044,5.104,0,1.001,0.28,0,114.395,9.321,0,0.29,0.221,0.19,6.889,0.394,0,28.527,1.235,0,6.889,0.394,0,NA,NA,NA,14.543,6.557,0.027,0.334,0.215,0.12,NA,NA,NA,"28.527","1.235",0,0.656,0.84,0.434,18.729,1.36,0,-1.118,0.35,0.001,24.082,1.462,0,0.664,0.306,0.03
"Mplus VERSION 7.3","0.1","03/19/2015"," 1:56 PM","eas","b1","female","ae","muscle","fluid","grip","trailsb",TRUE,580,8,NA,25,-11183.73,22417.46,22526.536,22447.171,22419.8065703971,"b1_female_ae_muscle_fluid_grip_trailsb.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",32.692,4.829,0,0.963,0.29,0.001,2634.928,383.896,0,5.419,10.404,0.602,6.93,0.392,0,1752.99,48.109,0,6.93,0.392,0,NA,NA,NA,-95.03,39.909,0.017,-0.163,1.293,0.9,NA,NA,NA,"1752.99","48.109",0,11.434,7.72,0.139,18.925,1.322,0,-1.15,0.361,0.001,171.994,7.571,0,1.425,2.084,0.494
"Mplus VERSION 7.3","0.1","03/25/2015"," 7:55 AM","eas","b1","female","ae","muscle","global","grip","mmse",TRUE,600,8,NA,25,-4853.07,9756.14,9866.063,9786.695,9758.40480836237,"b1_female_ae_muscle_global_grip_mmse.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",34.628,5.07,0,1.045,0.31,0.001,2.324,0.201,0,0.009,0.004,0.025,6.944,0.391,0,0.822,0.028,0,6.944,0.391,0,NA,NA,NA,2.616,1.371,0.056,0.037,0.036,0.3,NA,NA,NA,"0.822","0.028",0,-0.007,0.194,0.972,19.514,1.344,0,-1.223,0.373,0.001,26.417,0.174,0,-0.013,0.045,0.781
"Mplus VERSION 7.3","0.1","03/25/2015"," 9:29 AM","eas","b1","female","ae","muscle","knowledge","grip","information",TRUE,538,7,NA,25,-5867.291,11784.582,11891.778,11812.42,11787.1210625,"b1_female_ae_muscle_knowledge_grip_information.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",34.99,5.211,0,1.454,0.441,0.001,21.905,2.497,0,0.252,0.11,0.023,6.572,0.405,0,8.537,0.388,0,6.572,0.405,0,NA,NA,NA,-0.932,4.323,0.829,-0.326,0.198,0.1,NA,NA,NA,"8.537","0.388",0,0.121,0.456,0.791,18.43,1.434,0,-0.85,0.41,0.038,15.601,0.723,0,-0.543,0.227,0.017
"Mplus VERSION 7.3","0.1","03/25/2015"," 7:47 AM","eas","b1","female","ae","muscle","knowledge","grip","waisvocab",TRUE,594,8,NA,25,-8181.209,16412.419,16522.091,16442.724,16414.7077323944,"b1_female_ae_muscle_knowledge_grip_waisvocab.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",33.437,4.832,0,0.973,0.297,0.001,96.264,8.78,0,0.156,0.263,0.552,6.885,0.381,0,39.674,1.347,0,6.885,0.381,0,NA,NA,NA,11.811,6.809,0.083,0.219,0.193,0.257,NA,NA,NA,"39.674","1.347",0,-1.18,1.282,0.358,18.953,1.328,0,-1.087,0.344,0.002,32.804,1.252,0,-0.211,0.318,0.508
"Mplus VERSION 7.3","0.1","03/19/2015"," 2:48 PM","eas","b1","female","ae","muscle","memory","grip","digitspan",TRUE,595,8,NA,25,-5905.536,11861.071,11970.785,11891.418,11863.3557100176,"b1_female_ae_muscle_memory_grip_digitspan.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",33.379,4.841,0,1.126,0.33,0.001,9.136,0.743,0,0.104,0.029,0,6.846,0.389,0,2.68,0.118,0,6.846,0.389,0,NA,NA,NA,-1.593,2.098,0.448,0.179,0.09,0.046,NA,NA,NA,"2.68","0.118",0,0.133,0.243,0.583,19.263,1.32,0,-0.954,0.384,0.013,11.288,0.409,0,0.296,0.105,0.005
"Mplus VERSION 7.3","0.1","03/25/2015"," 9:13 AM","eas","b1","female","ae","muscle","memory","grip","logicalmemory",TRUE,554,8,NA,25,-6882.612,13815.225,13923.154,13843.793,13817.6871212121,"b1_female_ae_muscle_memory_grip_logicalmemory.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",32.959,4.746,0,0.943,0.268,0,23.262,3.115,0,0.145,0.09,0.107,6.935,0.396,0,15.509,0.723,0,6.935,0.396,0,NA,NA,NA,4.387,3.328,0.188,0.159,0.116,0.169,NA,NA,NA,"15.509","0.723",0,0.353,0.64,0.581,18.94,1.311,0,-1.097,0.341,0.001,16.509,0.804,0,0.063,0.225,0.781
"Mplus VERSION 7.3","0.1","03/05/2015","10:42 AM","eas","b1","female","ae","muscle","reasoning","grip","block",TRUE,563,8,NA,25,-7309.247,14668.495,14776.827,14697.464,14670.9158566108,"b1_female_ae_muscle_reasoning_grip_block.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv",33.552,4.905,0,1.101,0.342,0.001,54.225,4.949,0,0.293,0.138,0.033,6.894,0.386,0,21.555,0.888,0,6.894,0.386,0,NA,NA,NA,1.874,4.992,0.707,0.433,0.189,0.022,NA,NA,NA,"21.555","0.888",0,0.174,0.971,0.858,18.738,1.332,0,-0.876,0.355,0.014,13.976,1.124,0,1.077,0.256,0
