"software","version","date","time","study_name","model_number","subgroup","model_type","physical_construct","cognitive_construct","physical_measure","cognitive_measure","converged","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","output_file","data_file","pp_TAU_00","pp_TAU_00_se","pp_TAU_00_pval","pp_TAU_11","pp_TAU_11_se","pp_TAU_11_pval","cc_TAU_00","cc_TAU_00_se","cc_TAU_00_pval","cc_TAU_11","cc_TAU_11_se","cc_TAU_11_pval","p_SIGMA","p_SIGMA_se","p_SIGMA_pval","c_SIGMA","c_SIGMA_se","c_SIGMA_pval","pp_TAU_01","pp_TAU_01_se","pp_TAU_01_pval","pc_TAU_01","pc_TAU_01_se","pc_TAU_01_pval","pc_TAU_00","pc_TAU_00_se","pc_TAU_00_pval","pc_TAU_11","pc_TAU_11_se","pc_TAU_11_pval","pc_TAU_10","pc_TAU_10_se","pc_TAU_10_pval","cc_TAU_10","cc_TAU_10_se","cc_TAU_10_pval","pc_SIGMA","pc_SIGMA_se","pc_SIGMA_pval","p_GAMMA_00","p_GAMMA_00_se","p_GAMMA_00_pval","p_GAMMA_10","p_GAMMA_10_se","p_GAMMA_10_pval","c_GAMMA_00","c_GAMMA_00_se","c_GAMMA_00_pval","c_GAMMA_10","c_GAMMA_10_se","c_GAMMA_10_pval"
"Mplus VERSION 7.3 (Mac)","0.1","06/16/2015"," 2:13 PM","satsa","b1","female","0","pulmonary","executive","fev","digitsback",TRUE,512,7,NA,23,-7685.507,15417.014,15514.496,15441.49,15419.276295082,"b1_female_0_pulmonary_executive_fev_digitsback.out"," satsa.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.001,0,1.022,0.032,0,0.056,0.001,0,NA,NA,NA,0.155,0.032,0,0,0,0.032,NA,NA,NA,"1.022","0.032",0,-0.006,0.01,0.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3 (Mac)","0.1","06/16/2015"," 2:41 PM","satsa","b1","female","0","pulmonary","knowledge","fev","analogies",TRUE,512,7,NA,23,-8887.529,17821.058,17918.54,17845.534,17823.320295082,"b1_female_0_pulmonary_knowledge_fev_analogies.out"," satsa.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.001,0,5.113,0.226,0,0.056,0.001,0,NA,NA,NA,0.759,0.121,0,0,0,0.304,NA,NA,NA,"5.113","0.226",0,0,0.02,0.999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3 (Mac)","0.1","06/16/2015"," 2:44 PM","satsa","b1","female","0","pulmonary","knowledge","fev","info",TRUE,512,7,NA,23,-10412.214,20870.427,20967.909,20894.903,20872.689295082,"b1_female_0_pulmonary_knowledge_fev_info.out"," satsa.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.001,0,10.974,0.406,0,0.056,0.001,0,NA,NA,NA,0.662,0.212,0.002,0.001,0.001,0.06,NA,NA,NA,"10.974","0.406",0,0.088,0.027,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3 (Mac)","0.1","06/16/2015"," 3:06 PM","satsa","b1","female","0","pulmonary","knowledge","fev","synonyms",TRUE,512,7,NA,23,-9287.797,18621.595,18719.076,18646.07,18623.857295082,"b1_female_0_pulmonary_knowledge_fev_synonyms.out"," satsa.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.001,0,4.525,0.217,0,0.056,0.001,0,NA,NA,NA,0.729,0.142,0,0,0,0.432,NA,NA,NA,"4.525","0.217",0,0.036,0.019,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3 (Mac)","0.1","06/16/2015"," 2:02 PM","satsa","b1","female","0","pulmonary","memory","fev","digitsforward",TRUE,512,7,NA,23,-7273.074,14592.149,14689.63,14616.625,14594.411295082,"b1_female_0_pulmonary_memory_fev_digitsforward.out"," satsa.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.001,0,0.625,0.027,0,0.056,0.001,0,NA,NA,NA,0.097,0.028,0.001,0,0,0.588,NA,NA,NA,"0.625","0.027",0,0.007,0.006,0.202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3 (Mac)","0.1","06/16/2015"," 2:29 PM","satsa","b1","female","0","pulmonary","memory","fev","figurememory",TRUE,512,7,NA,23,-9342.472,18730.944,18828.425,18755.419,18733.206295082,"b1_female_0_pulmonary_memory_fev_figurememory.out"," satsa.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.001,0,6.899,0.31,0,0.056,0.001,0,NA,NA,NA,0.559,0.12,0,0,0,0.341,NA,NA,NA,"6.899","0.31",0,0.047,0.024,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3 (Mac)","0.1","06/16/2015"," 2:48 PM","satsa","b1","female","0","pulmonary","mental","fev","mmse",TRUE,512,7,NA,23,-8863.436,17772.872,17870.353,17797.347,17775.134295082,"b1_female_0_pulmonary_mental_fev_mmse.out"," satsa.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.001,0,3.066,0.067,0,0.056,0.001,0,NA,NA,NA,0.078,0.051,0.128,0.001,0.001,0.087,NA,NA,NA,"3.066","0.067",0,0.062,0.017,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3 (Mac)","0.1","06/16/2015"," 1:55 PM","satsa","b1","female","0","pulmonary","reasoning","fev","block",TRUE,512,7,NA,23,-10066.211,20178.421,20275.903,20202.897,20180.683295082,"b1_female_0_pulmonary_reasoning_fev_block.out"," satsa.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.001,0,11.032,0.263,0,0.056,0.001,0,NA,NA,NA,1.685,0.242,0,0.001,0.001,0.209,NA,NA,NA,"11.032","0.263",0,0.053,0.026,0.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3 (Mac)","0.1","06/16/2015"," 2:50 PM","satsa","b1","female","0","pulmonary","speed","fev","symbol",TRUE,512,7,NA,23,-10729.065,21504.131,21601.612,21528.607,21506.393295082,"b1_female_0_pulmonary_speed_fev_symbol.out"," satsa.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.001,0,27.609,0.827,0,0.056,0.001,0,NA,NA,NA,3.135,0.395,0,0,0.001,0.556,NA,NA,NA,"27.609","0.827",0,0.038,0.044,0.388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mplus VERSION 7.3 (Mac)","0.1","06/16/2015"," 2:22 PM","satsa","b1","female","0","pulmonary","visuospatial","fev","rotations",TRUE,512,7,NA,23,-11154.345,22354.689,22452.171,22379.165,22356.951295082,"b1_female_0_pulmonary_visuospatial_fev_rotations.out"," satsa.dat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.001,0,114.474,5.07,0,0.056,0.001,0,NA,NA,NA,3.222,0.506,0,0.001,0.002,0.444,NA,NA,NA,"114.474","5.07",0,0.015,0.088,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
