"software","version","date","time","output_file","data_file","file_path","study_name","model_number","subgroup","model_type","process_a","process_b","subject_count","wave_count","datapoint_count","parameter_count","LL","aic","bic","adj_bic","aaic","has_converged","trust_all","mistrust","covar_covered","ab_TAU_00_est","ab_TAU_00_se","ab_TAU_00_wald","ab_TAU_00_pval","ab_TAU_11_est","ab_TAU_11_se","ab_TAU_11_wald","ab_TAU_11_pval","ab_TAU_01_est","ab_TAU_01_se","ab_TAU_01_wald","ab_TAU_01_pval","ab_TAU_10_est","ab_TAU_10_se","ab_TAU_10_wald","ab_TAU_10_pval","ab_SIGMA_est","ab_SIGMA_se","ab_SIGMA_wald","ab_SIGMA_pval","aa_TAU_00_est","aa_TAU_00_se","aa_TAU_00_wald","aa_TAU_00_pval","aa_TAU_11_est","aa_TAU_11_se","aa_TAU_11_wald","aa_TAU_11_pval","aa_TAU_01_est","aa_TAU_01_se","aa_TAU_01_wald","aa_TAU_01_pval","a_SIGMA_est","a_SIGMA_se","a_SIGMA_wald","a_SIGMA_pval","bb_TAU_00_est","bb_TAU_00_se","bb_TAU_00_wald","bb_TAU_00_pval","bb_TAU_11_est","bb_TAU_11_se","bb_TAU_11_wald","bb_TAU_11_pval","bb_TAU_10_est","bb_TAU_10_se","bb_TAU_10_wald","bb_TAU_10_pval","b_SIGMA_est","b_SIGMA_se","b_SIGMA_wald","b_SIGMA_pval","a_GAMMA_00_est","a_GAMMA_00_se","a_GAMMA_00_wald","a_GAMMA_00_pval","a_GAMMA_10_est","a_GAMMA_10_se","a_GAMMA_10_wald","a_GAMMA_10_pval","b_GAMMA_00_est","b_GAMMA_00_se","b_GAMMA_00_wald","b_GAMMA_00_pval","b_GAMMA_10_est","b_GAMMA_10_se","b_GAMMA_10_wald","b_GAMMA_10_pval","R_IAIB_est","R_IAIB_se","R_IAIB_wald","R_IAIB_pval","R_SASB_est","R_SASB_se","R_SASB_wald","R_SASB_pval","R_RES_AB_est","R_RES_AB_se","R_RES_AB_wald","R_RES_AB_pval","a_GAMMA_01_est","a_GAMMA_01_se","a_GAMMA_01_wald","a_GAMMA_01_pval","a_GAMMA_11_est","a_GAMMA_11_se","a_GAMMA_11_wald","a_GAMMA_11_pval","b_GAMMA_01_est","b_GAMMA_01_se","b_GAMMA_01_wald","b_GAMMA_01_pval","b_GAMMA_11_est","b_GAMMA_11_se","b_GAMMA_11_wald","b_GAMMA_11_pval","a_GAMMA_02_est","a_GAMMA_02_se","a_GAMMA_02_wald","a_GAMMA_02_pval","a_GAMMA_12_est","a_GAMMA_12_se","a_GAMMA_12_wald","a_GAMMA_12_pval","b_GAMMA_02_est","b_GAMMA_02_se","b_GAMMA_02_wald","b_GAMMA_02_pval","b_GAMMA_12_est","b_GAMMA_12_se","b_GAMMA_12_wald","b_GAMMA_12_pval","a_GAMMA_03_est","a_GAMMA_03_se","a_GAMMA_03_wald","a_GAMMA_03_pval","a_GAMMA_13_est","a_GAMMA_13_se","a_GAMMA_13_wald","a_GAMMA_13_pval","b_GAMMA_03_est","b_GAMMA_03_se","b_GAMMA_03_wald","b_GAMMA_03_pval","b_GAMMA_13_est","b_GAMMA_13_se","b_GAMMA_13_wald","b_GAMMA_13_pval","a_GAMMA_04_est","a_GAMMA_04_se","a_GAMMA_04_wald","a_GAMMA_04_pval","a_GAMMA_14_est","a_GAMMA_14_se","a_GAMMA_14_wald","a_GAMMA_14_pval","b_GAMMA_04_est","b_GAMMA_04_se","b_GAMMA_04_wald","b_GAMMA_04_pval","b_GAMMA_14_est","b_GAMMA_14_se","b_GAMMA_14_wald","b_GAMMA_14_pval","a_GAMMA_05_est","a_GAMMA_05_se","a_GAMMA_05_wald","a_GAMMA_05_pval","a_GAMMA_15_est","a_GAMMA_15_se","a_GAMMA_15_wald","a_GAMMA_15_pval","b_GAMMA_05_est","b_GAMMA_05_se","b_GAMMA_05_wald","b_GAMMA_05_pval","b_GAMMA_15_est","b_GAMMA_15_se","b_GAMMA_15_wald","b_GAMMA_15_pval","a_GAMMA_06_est","a_GAMMA_06_se","a_GAMMA_06_wald","a_GAMMA_06_pval","a_GAMMA_16_est","a_GAMMA_16_se","a_GAMMA_16_wald","a_GAMMA_16_pval","b_GAMMA_06_est","b_GAMMA_06_se","b_GAMMA_06_wald","b_GAMMA_06_pval","b_GAMMA_16_est","b_GAMMA_16_se","b_GAMMA_16_wald","b_GAMMA_16_pval"
"Mplus VERSION 7.3",0.1,"11/30/2016"," 1:04 PM","b1_female_aehplus_walking_fluency_gait_bostonnaming.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/gait-2016-11-30/b1_female_aehplus_walking_fluency_gait_bostonnaming.out","eas","b1","female","aehplus","gait","bostonnaming",363,5,NA,43,-5629.857,11345.714,11513.174,11376.753,11357.5760689655,TRUE,TRUE,NA,0,-0.879,4.926,-0.178,0.858,0.007,0.318,0.022,0.982,1.036,1.304,0.794,0.427,0.719,1.328,0.542,0.588,0.492,0.917,0.536,0.592,359.459,59.481,6.043,0,6.532,2.715,2.406,0.016,-6.262,11.018,-0.568,0.57,63.06,5.974,10.556,0,3.705,0.602,6.156,0,0.014,0.031,0.429,0.668,0.071,0.125,0.571,0.568,1.893,0.101,18.769,0,106.385,5.926,17.951,0,-3.486,1.599,-2.18,0.029,10.331,0.424,24.347,0,0.056,0.121,0.458,0.647,-0.024,0.135,-0.178,0.858,0.024,1.076,0.022,0.982,0.045,0.084,0.534,0.593,-1.56,0.366,-4.262,0,-0.075,0.103,-0.729,0.466,-0.053,0.027,-1.958,0.05,-0.011,0.007,-1.566,0.117,0.593,0.592,1.002,0.316,0.117,0.167,0.7,0.484,0.282,0.043,6.535,0,-0.001,0.014,-0.064,0.949,0.099,0.285,0.349,0.727,0.039,0.066,0.586,0.558,-0.005,0.033,-0.137,0.891,0.003,0.011,0.266,0.79,3.229,2.548,1.267,0.205,-0.296,0.844,-0.351,0.725,0.046,0.169,0.269,0.788,0.014,0.083,0.174,0.862,-7.408,3.489,-2.124,0.034,0.592,1.251,0.473,0.636,0.032,0.246,0.13,0.897,-0.005,0.098,-0.054,0.957,-15.337,4.733,-3.24,0.001,0.763,1.465,0.521,0.602,-0.816,0.393,-2.078,0.038,-0.013,0.101,-0.128,0.898
"Mplus VERSION 7.3",0.1,"11/30/2016"," 1:10 PM","b1_female_aehplus_walking_fluency_gait_category.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/gait-2016-11-30/b1_female_aehplus_walking_fluency_gait_category.out","eas","b1","female","aehplus","gait","category",363,5,NA,43,-7127.299,14340.597,14508.057,14371.637,14352.4590689655,TRUE,TRUE,NA,0,11.432,13.718,0.833,0.405,0.674,0.92,0.733,0.464,6.892,3.884,1.774,0.076,-0.921,3.06,-0.301,0.764,0.429,2.704,0.159,0.874,352.089,56.294,6.254,0,6.553,2.581,2.539,0.011,-4.077,9.447,-0.432,0.666,63.219,5.818,10.867,0,41.222,5.343,7.715,0,0.637,0.32,1.992,0.046,1.493,1.131,1.32,0.187,17.326,0.999,17.349,0,106.769,5.989,17.829,0,-3.709,1.647,-2.252,0.024,37.313,1.356,27.525,0,-0.523,0.397,-1.317,0.188,0.095,0.112,0.844,0.399,0.33,0.448,0.737,0.461,0.013,0.082,0.159,0.874,-1.619,0.41,-3.947,0,-0.084,0.117,-0.719,0.472,-0.276,0.098,-2.807,0.005,-0.045,0.024,-1.919,0.055,0.559,0.555,1.007,0.314,0.142,0.159,0.897,0.37,0.683,0.135,5.048,0,0.059,0.042,1.428,0.153,0.107,0.278,0.384,0.701,0.034,0.079,0.432,0.666,-0.105,0.099,-1.067,0.286,0.017,0.027,0.624,0.533,3.448,2.695,1.279,0.201,-0.286,0.861,-0.332,0.74,0.424,0.607,0.698,0.485,-0.054,0.238,-0.225,0.822,-7.502,3.331,-2.252,0.024,0.577,1.234,0.468,0.64,0.18,1.245,0.145,0.885,0.061,0.286,0.213,0.832,-15.443,4.569,-3.38,0.001,0.926,1.392,0.665,0.506,-3.795,1.261,-3.009,0.003,-0.005,0.339,-0.014,0.989
"Mplus VERSION 7.3",0.1,"11/30/2016"," 1:29 PM","b1_female_aehplus_walking_fluency_gait_fas.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/gait-2016-11-30/b1_female_aehplus_walking_fluency_gait_fas.out","eas","b1","female","aehplus","gait","fas",361,5,NA,43,-7323.221,14732.442,14899.663,14763.245,14744.3789085173,TRUE,TRUE,NA,0,67.831,23.064,2.941,0.003,2.084,1.102,1.89,0.059,-3.643,4.501,-0.809,0.418,-8.915,4.888,-1.824,0.068,-0.793,3.333,-0.238,0.812,363.387,56.239,6.461,0,6.774,2.543,2.664,0.008,-7.738,9.635,-0.803,0.422,63.086,6.013,10.491,0,100.29,13,7.715,0,0.985,0.638,1.542,0.123,0.965,2.508,0.385,0.7,27.806,1.57,17.71,0,106.219,5.868,18.103,0,-3.502,1.579,-2.217,0.027,28.008,2.123,13.19,0,0.419,0.542,0.774,0.439,0.355,0.105,3.377,0.001,0.807,0.475,1.699,0.089,-0.019,0.079,-0.239,0.811,-1.526,0.363,-4.207,0,-0.066,0.099,-0.669,0.503,-0.22,0.137,-1.609,0.108,-0.03,0.033,-0.893,0.372,0.544,0.541,1.004,0.315,0.122,0.153,0.796,0.426,1.293,0.211,6.127,0,0.052,0.061,0.84,0.401,0.132,0.279,0.475,0.635,0.04,0.068,0.591,0.555,-0.169,0.156,-1.085,0.278,0.055,0.038,1.439,0.15,3.13,2.551,1.227,0.22,-0.286,0.838,-0.342,0.733,1.068,0.98,1.089,0.276,0.012,0.316,0.038,0.97,-6.707,3.153,-2.127,0.033,0.487,1.193,0.408,0.683,0.373,1.481,0.252,0.801,-0.307,0.274,-1.121,0.262,-14.884,4.342,-3.428,0.001,0.788,1.277,0.617,0.537,-4.495,1.848,-2.431,0.015,-0.198,0.4,-0.495,0.621
"Mplus VERSION 7.3",0.1,"11/30/2016"," 2:00 PM","b1_female_aehplus_walking_fluid_gait_trailsb.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/gait-2016-11-30/b1_female_aehplus_walking_fluid_gait_trailsb.out","eas","b1","female","aehplus","gait","trailsb",362,5,NA,43,-9769.1,19624.2,19791.541,19655.122,19636.0993710692,TRUE,TRUE,NA,0,-4.863,107.756,-0.045,0.964,3.359,6.587,0.51,0.61,-47.703,30.254,-1.577,0.115,-26.013,32.873,-0.791,0.429,-4.35,25.362,-0.172,0.864,359.614,57.406,6.264,0,6.332,2.62,2.417,0.016,-6.107,9.117,-0.67,0.503,63.433,6.144,10.324,0,2050.71,468.095,4.381,0,53.202,35.706,1.49,0.136,-16.147,117.131,-0.138,0.89,1746.799,81.31,21.483,0,106.842,5.939,17.988,0,-3.557,1.595,-2.229,0.026,154.126,11.828,13.031,0,1.031,3.99,0.258,0.796,-0.006,0.125,-0.045,0.964,0.183,0.364,0.503,0.615,-0.013,0.076,-0.171,0.864,-1.572,0.376,-4.183,0,-0.079,0.107,-0.737,0.461,2.646,0.806,3.283,0.001,0.184,0.262,0.703,0.482,0.521,0.571,0.912,0.362,0.133,0.16,0.829,0.407,-6.58,1.168,-5.634,0,0.049,0.364,0.133,0.894,0.083,0.287,0.288,0.773,0.041,0.075,0.549,0.583,0.402,0.996,0.404,0.686,-0.1,0.406,-0.247,0.805,3.058,2.757,1.109,0.267,-0.258,0.855,-0.302,0.763,-5.129,5.395,-0.951,0.342,-0.257,2.204,-0.117,0.907,-7.242,3.632,-1.994,0.046,0.629,1.258,0.5,0.617,10.502,7.628,1.377,0.169,1.438,2.146,0.67,0.503,-15.466,4.533,-3.412,0.001,0.717,1.367,0.525,0.6,28.854,11.31,2.551,0.011,0.133,3.87,0.034,0.973
"Mplus VERSION 7.3",0.1,"12/05/2016"," 8:54 AM","b1_female_aehplus_walking_global_gait_mmse.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/gait-2016-11-30/b1_female_aehplus_walking_global_gait_mmse.out","eas","b1","female","aehplus","gait","mmse",363,5,NA,43,-5099.137,10284.275,10451.734,10315.314,10296.1370689655,TRUE,TRUE,NA,0,2.686,2.326,1.155,0.248,0.016,0.163,0.097,0.923,0.665,0.666,0.998,0.318,-0.162,0.613,-0.264,0.792,-0.37,0.511,-0.725,0.468,359.772,57.737,6.231,0,6.454,2.508,2.573,0.01,-5.931,9.321,-0.636,0.525,63.183,5.822,10.853,0,1.001,0.183,5.475,0,0.006,0.012,0.54,0.59,0.046,0.04,1.169,0.243,0.819,0.038,21.377,0,105.879,6.012,17.611,0,-3.31,1.599,-2.07,0.038,25.64,0.277,92.526,0,0.052,0.08,0.647,0.517,0.142,0.123,1.153,0.249,0.078,0.793,0.098,0.922,-0.051,0.071,-0.721,0.471,-1.564,0.368,-4.247,0,-0.081,0.099,-0.817,0.414,-0.003,0.017,-0.196,0.845,-0.005,0.005,-1.082,0.279,0.626,0.592,1.057,0.29,0.108,0.176,0.617,0.537,0.129,0.025,5.175,0,-0.001,0.008,-0.139,0.89,0.103,0.28,0.367,0.713,0.031,0.066,0.477,0.634,0.01,0.021,0.472,0.637,-0.002,0.007,-0.339,0.735,3.298,2.667,1.237,0.216,-0.293,0.84,-0.348,0.728,0.157,0.171,0.918,0.358,-0.006,0.046,-0.132,0.895,-7.348,3.274,-2.244,0.025,0.544,1.354,0.402,0.688,-0.088,0.16,-0.553,0.58,-0.074,0.044,-1.67,0.095,-15.279,4.391,-3.48,0.001,0.838,1.34,0.625,0.532,-0.338,0.213,-1.587,0.112,0.014,0.07,0.195,0.845
"Mplus VERSION 7.3",0.1,"11/30/2016"," 1:41 PM","b1_female_aehplus_walking_knowledge_gait_waisvocab.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/gait-2016-11-30/b1_female_aehplus_walking_knowledge_gait_waisvocab.out","eas","b1","female","aehplus","gait","waisvocab",363,5,NA,43,-7619.85,15325.7,15493.16,15356.74,15337.5620689655,TRUE,TRUE,NA,0,51.981,22.895,2.27,0.023,1.527,1.256,1.216,0.224,-1.343,5.061,-0.265,0.791,-7.519,6.227,-1.207,0.227,-0.852,3.631,-0.235,0.815,361.276,58.521,6.173,0,6.751,2.562,2.636,0.008,-6.531,9.847,-0.663,0.507,62.765,5.866,10.699,0,90.89,13.533,6.716,0,0.347,0.661,0.524,0.6,-1.83,2.65,-0.69,0.49,40.92,1.843,22.199,0,105.744,5.923,17.855,0,-3.262,1.613,-2.022,0.043,36.073,1.883,19.159,0,-0.743,0.551,-1.349,0.177,0.287,0.116,2.477,0.013,0.998,1.156,0.864,0.388,-0.017,0.072,-0.235,0.814,-1.457,0.374,-3.898,0,-0.104,0.11,-0.949,0.343,0.042,0.138,0.302,0.763,-0.028,0.036,-0.787,0.431,0.581,0.573,1.014,0.311,0.12,0.17,0.708,0.479,1.652,0.195,8.487,0,0.061,0.062,0.987,0.324,0.138,0.281,0.493,0.622,0.03,0.065,0.456,0.648,-0.001,0.151,-0.006,0.995,0.001,0.04,0.027,0.978,3.621,2.793,1.297,0.195,-0.336,0.846,-0.397,0.691,0.474,1.019,0.465,0.642,0.122,0.338,0.361,0.718,-7.841,3.206,-2.445,0.014,0.639,1.276,0.501,0.617,-0.502,1.327,-0.378,0.705,-0.15,0.459,-0.327,0.744,-14.366,4.481,-3.206,0.001,0.733,1.361,0.539,0.59,-2.91,1.746,-1.667,0.095,0.243,0.468,0.519,0.604
"Mplus VERSION 7.3",0.1,"11/30/2016"," 1:33 PM","b1_female_aehplus_walking_memory_gait_digitspan.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/gait-2016-11-30/b1_female_aehplus_walking_memory_gait_digitspan.out","eas","b1","female","aehplus","gait","digitspan",363,5,NA,43,-5943.564,11973.128,12140.588,12004.168,11984.9900689655,TRUE,TRUE,NA,0,12.353,6.175,2,0.045,0.619,0.349,1.771,0.076,-0.411,1.531,-0.269,0.788,-2.544,1.65,-1.542,0.123,-0.237,0.881,-0.269,0.788,356.869,56.349,6.333,0,6.289,2.386,2.636,0.008,-5.293,9.194,-0.576,0.565,63.622,5.722,11.119,0,7.267,0.888,8.185,0,0.112,0.061,1.849,0.064,-0.083,0.191,-0.434,0.664,2.656,0.154,17.228,0,105.688,5.904,17.9,0,-3.131,1.492,-2.099,0.036,12.208,0.598,20.425,0,0.3,0.151,1.991,0.046,0.243,0.113,2.144,0.032,0.737,0.4,1.845,0.065,-0.018,0.068,-0.268,0.789,-1.497,0.368,-4.069,0,-0.104,0.099,-1.057,0.29,-0.031,0.04,-0.771,0.44,-0.013,0.011,-1.182,0.237,0.613,0.56,1.096,0.273,0.104,0.163,0.636,0.524,0.292,0.06,4.9,0,-0.014,0.015,-0.939,0.348,0.164,0.278,0.589,0.556,0.014,0.062,0.218,0.827,0.075,0.046,1.631,0.103,-0.026,0.011,-2.322,0.02,3.34,2.671,1.251,0.211,-0.344,0.864,-0.399,0.69,0.238,0.332,0.718,0.473,-0.006,0.09,-0.065,0.948,-7.427,3.287,-2.26,0.024,0.554,1.252,0.443,0.658,-0.458,0.499,-0.917,0.359,0.003,0.114,0.028,0.978,-15.462,4.293,-3.602,0,0.792,1.259,0.629,0.529,-1.367,0.54,-2.529,0.011,0.164,0.141,1.163,0.245
"Mplus VERSION 7.3",0.1,"11/30/2016","12:59 PM","b1_female_aehplus_walking_memory_gait_freerecall.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/gait-2016-11-30/b1_female_aehplus_walking_memory_gait_freerecall.out","eas","b1","female","aehplus","gait","freerecall",363,5,NA,43,-6837.136,13760.272,13927.731,13791.311,13772.1340689655,TRUE,TRUE,NA,0,11.874,11.82,1.005,0.315,0.286,0.816,0.351,0.726,5.7,3.1,1.839,0.066,0.486,3.347,0.145,0.885,1.282,2.263,0.567,0.571,354.922,58.408,6.077,0,6.464,2.513,2.572,0.01,-3.92,9.429,-0.416,0.678,63.322,5.868,10.79,0,16.649,2.911,5.719,0,0.183,0.304,0.601,0.548,0.61,0.903,0.676,0.499,12.843,0.626,20.517,0,106.287,5.877,18.085,0,-3.407,1.585,-2.149,0.032,34.191,0.973,35.145,0,0.176,0.323,0.546,0.585,0.154,0.156,0.993,0.321,0.263,0.76,0.346,0.729,0.045,0.079,0.566,0.571,-1.546,0.379,-4.084,0,-0.1,0.105,-0.954,0.34,-0.157,0.071,-2.229,0.026,-0.074,0.021,-3.527,0,0.596,0.565,1.056,0.291,0.122,0.164,0.743,0.457,0.081,0.099,0.815,0.415,0.034,0.034,1.019,0.308,0.161,0.277,0.581,0.561,0.028,0.076,0.367,0.713,0.07,0.083,0.843,0.399,-0.038,0.023,-1.632,0.103,2.72,2.553,1.066,0.287,-0.331,0.854,-0.387,0.698,-1.122,0.434,-2.587,0.01,0.042,0.205,0.204,0.838,-6.916,3.223,-2.146,0.032,0.589,1.333,0.442,0.659,0.677,1.188,0.569,0.569,-0.04,0.255,-0.156,0.876,-15.587,4.343,-3.589,0,0.742,1.347,0.551,0.582,-1.202,1.006,-1.195,0.232,-0.257,0.27,-0.954,0.34
"Mplus VERSION 7.3",0.1,"11/30/2016"," 2:07 PM","b1_female_aehplus_walking_memory_gait_logicalmemory.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/gait-2016-11-30/b1_female_aehplus_walking_memory_gait_logicalmemory.out","eas","b1","female","aehplus","gait","logicalmemory",360,5,NA,43,-6716.388,13518.776,13685.878,13549.46,13530.7506835443,TRUE,TRUE,NA,0,3.856,11.155,0.346,0.73,0.737,0.879,0.838,0.402,3.55,3.351,1.059,0.289,-1.056,2.818,-0.375,0.708,0.347,2.306,0.15,0.881,357.495,57.406,6.227,0,6.552,2.593,2.526,0.012,-5.622,9.659,-0.582,0.561,62.952,5.719,11.007,0,22.814,4.176,5.463,0,0.285,0.364,0.784,0.433,-0.133,1.003,-0.132,0.895,15.431,0.847,18.218,0,106.163,6.006,17.676,0,-3.287,1.623,-2.025,0.043,17.834,1.144,15.591,0,-0.074,0.373,-0.197,0.844,0.043,0.123,0.347,0.728,0.539,0.751,0.717,0.473,0.011,0.074,0.15,0.88,-1.555,0.376,-4.137,0,-0.088,0.101,-0.868,0.385,-0.247,0.076,-3.23,0.001,-0.006,0.024,-0.258,0.797,0.597,0.574,1.039,0.299,0.104,0.179,0.584,0.559,0.683,0.113,6.033,0,0.04,0.035,1.149,0.25,0.11,0.287,0.382,0.702,0.027,0.073,0.376,0.707,0.051,0.09,0.567,0.57,-0.006,0.022,-0.262,0.793,3.24,2.499,1.296,0.195,-0.31,0.881,-0.352,0.725,0.625,0.478,1.307,0.191,-0.162,0.237,-0.685,0.494,-7.302,3.177,-2.299,0.022,0.538,1.265,0.425,0.671,-1.074,0.982,-1.094,0.274,0.429,0.277,1.551,0.121,-15.511,4.528,-3.426,0.001,0.956,1.418,0.675,0.5,0.161,1.124,0.143,0.886,-0.271,0.319,-0.85,0.395
"Mplus VERSION 7.3",0.1,"11/30/2016"," 1:20 PM","b1_female_aehplus_walking_reasoning_gait_block.out"," C:\Users\Andrea Zammit\Desktop\EASMaster.csv","./studies/eas/physical-cognitive/without-errors/gait-2016-11-30/b1_female_aehplus_walking_reasoning_gait_block.out","eas","b1","female","aehplus","gait","block",351,5,NA,43,-6949.508,13985.017,14151.031,14014.619,13997.342732899,TRUE,TRUE,NA,0,16.749,14.113,1.187,0.235,0.19,0.845,0.225,0.822,0.407,2.923,0.139,0.889,1.22,3.805,0.321,0.749,1.103,2.256,0.489,0.625,356.798,57.556,6.199,0,6.327,2.529,2.502,0.012,-5.615,9.333,-0.602,0.547,63.277,5.978,10.585,0,47.665,6.392,7.457,0,0.85,0.461,1.844,0.065,-1.645,1.472,-1.117,0.264,19.99,1.015,19.7,0,106.158,6.176,17.188,0,-3.505,1.555,-2.254,0.024,15.515,1.552,9.996,0,1.079,0.454,2.377,0.017,0.128,0.105,1.223,0.221,0.082,0.364,0.226,0.821,0.031,0.063,0.489,0.625,-1.559,0.381,-4.091,0,-0.074,0.103,-0.725,0.468,-0.144,0.107,-1.348,0.178,-0.031,0.03,-1.019,0.308,0.601,0.591,1.017,0.309,0.117,0.163,0.717,0.473,0.949,0.155,6.122,0,-0.077,0.045,-1.72,0.086,0.106,0.276,0.385,0.7,0.034,0.066,0.51,0.61,-0.013,0.118,-0.111,0.912,-0.011,0.035,-0.32,0.749,3.171,2.804,1.131,0.258,-0.297,0.861,-0.346,0.73,0.531,0.523,1.017,0.309,-0.114,0.217,-0.524,0.6,-7.269,3.427,-2.121,0.034,0.544,1.275,0.427,0.67,-0.349,1.105,-0.316,0.752,-0.207,0.299,-0.694,0.488,-15.515,4.457,-3.481,0,0.901,1.378,0.654,0.513,-4.179,1.405,-2.975,0.003,0.643,0.367,1.75,0.08
